employee_id,person_type,person_status,ge_hire_date,city,state_name,country_name,function_group,job_function,career_band,industry_focus_name
2163707601,EMPLOYEE,A,9/1/1997 0:00,Reau,No_Data,France,Production,JOB_FUNCTION_7,CAREER_BAND_10,BUSINESS_SEGMENT_4
9225331209,EMPLOYEE,A,8/22/2006 0:00,Dubai,Dubai,United Arab Emirates,Commercial,JOB_FUNCTION_22,CAREER_BAND_9,BUSINESS_SEGMENT_4
9777696464,EMPLOYEE,I,3/1/2007 0:00,Dubai,Dubai,United Arab Emirates,Production,JOB_FUNCTION_24,CAREER_BAND_4,BUSINESS_SEGMENT_4
8893235549,EMPLOYEE,A,9/1/2003 0:00,Dzierzoniow,Lower Silesian,Poland,Enabling,JOB_FUNCTION_10,CAREER_BAND_4,BUSINESS_SEGMENT_4
1310142434,EMPLOYEE,I,9/4/2000 0:00,Veresegyhaz,Pest,Hungary,Production,JOB_FUNCTION_7,CAREER_BAND_10,BUSINESS_SEGMENT_4
8714002494,EMPLOYEE,A,,Arnhem,,,,JOB_FUNCTION_7,CAREER_BAND_1,BUSINESS_SEGMENT_8
7789245279,EMPLOYEE,A,3/13/2006 0:00,Evendale,Ohio,United States,Production,JOB_FUNCTION_7,CAREER_BAND_4,BUSINESS_SEGMENT_4
8791973875,EMPLOYEE,A,7/2/2007 0:00,Bengaluru,Karnataka,India,Production,JOB_FUNCTION_7,CAREER_BAND_10,BUSINESS_SEGMENT_4
406796017,EMPLOYEE,A,9/2/2007 0:00,Dubai,Dubai,United Arab Emirates,Commercial,JOB_FUNCTION_22,CAREER_BAND_2,BUSINESS_SEGMENT_4
7296648307,EMPLOYEE,A,6/27/2010 0:00,Dubai,Dubai,United Arab Emirates,Production,JOB_FUNCTION_7,CAREER_BAND_10,BUSINESS_SEGMENT_4
9526104533,EMPLOYEE,I,11/8/2010 0:00,Bengaluru,Karnataka,India,Enabling,JOB_FUNCTION_6,CAREER_BAND_10,BUSINESS_SEGMENT_4
187153423,EMPLOYEE,A,,Luanda,,,,JOB_FUNCTION_7,CAREER_BAND_1,BUSINESS_SEGMENT_1
4680091097,EMPLOYEE,A,,Jandakot,,,,JOB_FUNCTION_25,CAREER_BAND_1,BUSINESS_SEGMENT_11
9796375671,EMPLOYEE,A,12/12/2011 0:00,Rugby,England,United Kingdom,Production,JOB_FUNCTION_7,CAREER_BAND_4,BUSINESS_SEGMENT_13
9678700500,EMPLOYEE,A,,Florence,,,,JOB_FUNCTION_25,CAREER_BAND_1,BUSINESS_SEGMENT_11
1199641807,EMPLOYEE,A,10/9/2008 0:00,Dubai,Dubai,United Arab Emirates,Production,JOB_FUNCTION_24,CAREER_BAND_4,BUSINESS_SEGMENT_4
8308090036,EMPLOYEE,A,4/8/1991 0:00,Prestwick,Scotland,United Kingdom,Production,JOB_FUNCTION_25,CAREER_BAND_3,BUSINESS_SEGMENT_4
10764068189,EMPLOYEE,A,9/16/1985 0:00,Prestwick,Scotland,United Kingdom,Production,JOB_FUNCTION_25,CAREER_BAND_3,BUSINESS_SEGMENT_4
4496621626,EMPLOYEE,A,8/7/1989 0:00,Prestwick,Scotland,United Kingdom,Production,JOB_FUNCTION_16,CAREER_BAND_3,BUSINESS_SEGMENT_4
8308151731,EMPLOYEE,I,9/22/1980 0:00,Prestwick,Scotland,United Kingdom,Production,JOB_FUNCTION_24,CAREER_BAND_10,BUSINESS_SEGMENT_4
6729815074,EMPLOYEE,A,12/2/1991 0:00,Feltham,England,United Kingdom,Production,JOB_FUNCTION_16,CAREER_BAND_7,BUSINESS_SEGMENT_4
7279397731,EMPLOYEE,A,12/2/1991 0:00,Dubai,Dubai,United Arab Emirates,Production,JOB_FUNCTION_24,CAREER_BAND_4,BUSINESS_SEGMENT_4
1238747477,EMPLOYEE,A,3/30/1992 0:00,Cardiff,Wales,United Kingdom,Production,JOB_FUNCTION_16,CAREER_BAND_3,BUSINESS_SEGMENT_4
3408307378,EMPLOYEE,A,9/14/1992 0:00,Feltham,England,United Kingdom,Production,JOB_FUNCTION_16,CAREER_BAND_7,BUSINESS_SEGMENT_4
3408307599,EMPLOYEE,A,3/15/1993 0:00,Dubai,Dubai,United Arab Emirates,Production,JOB_FUNCTION_16,CAREER_BAND_7,BUSINESS_SEGMENT_4
9212818634,EMPLOYEE,A,6/29/1999 0:00,Cardiff,Wales,United Kingdom,Production,JOB_FUNCTION_16,CAREER_BAND_10,BUSINESS_SEGMENT_4
3408313879,EMPLOYEE,A,1/31/2000 0:00,Cardiff,Wales,United Kingdom,Production,JOB_FUNCTION_7,CAREER_BAND_10,BUSINESS_SEGMENT_4
9212852158,EMPLOYEE,A,5/12/1997 0:00,Cardiff,Wales,United Kingdom,Production,JOB_FUNCTION_24,CAREER_BAND_4,BUSINESS_SEGMENT_4
3408329594,EMPLOYEE,A,10/6/1997 0:00,Cardiff,Wales,United Kingdom,Production,JOB_FUNCTION_16,CAREER_BAND_3,BUSINESS_SEGMENT_4
158085354,EMPLOYEE,A,9/29/1997 0:00,Cardiff,Wales,United Kingdom,Production,JOB_FUNCTION_7,CAREER_BAND_4,BUSINESS_SEGMENT_4
3706851778,EMPLOYEE,A,9/29/1997 0:00,Cardiff,Wales,United Kingdom,Commercial,JOB_FUNCTION_18,CAREER_BAND_10,BUSINESS_SEGMENT_4
10719547234,EMPLOYEE,A,5/1/2000 0:00,Warsaw,Masovian,Poland,Production,JOB_FUNCTION_7,CAREER_BAND_10,BUSINESS_SEGMENT_4
1768246467,EMPLOYEE,I,5/1/1994 0:00,Veresegyhaz,Pest,Hungary,Production,JOB_FUNCTION_7,CAREER_BAND_7,BUSINESS_SEGMENT_4
447642540,EMPLOYEE,A,6/1/2000 0:00,Veresegyhaz,Pest,Hungary,Production,JOB_FUNCTION_15,CAREER_BAND_10,BUSINESS_SEGMENT_4
447642544,EMPLOYEE,A,3/20/2000 0:00,Veresegyhaz,Pest,Hungary,Production,JOB_FUNCTION_16,CAREER_BAND_3,BUSINESS_SEGMENT_4
2644617254,EMPLOYEE,A,6/1/2001 0:00,Warsaw,Masovian,Poland,Production,JOB_FUNCTION_7,CAREER_BAND_4,BUSINESS_SEGMENT_4
10758624776,EMPLOYEE,A,5/29/2000 0:00,Buenos Aires,Ciudad Autonoma de Buenos Aires,Argentina,Production,JOB_FUNCTION_7,CAREER_BAND_10,BUSINESS_SEGMENT_4
10758664921,EMPLOYEE,A,7/1/2003 0:00,Gloucester,England,United Kingdom,Commercial,JOB_FUNCTION_18,CAREER_BAND_4,BUSINESS_SEGMENT_4
3706911223,EMPLOYEE,A,10/1/2004 0:00,Heidelberg,No_Data,Germany,Production,JOB_FUNCTION_24,CAREER_BAND_10,BUSINESS_SEGMENT_4
4516842873,EMPLOYEE,I,2/8/2005 0:00,Veresegyhaz,Pest,Hungary,Production,JOB_FUNCTION_16,CAREER_BAND_3,BUSINESS_SEGMENT_4
6042429282,EMPLOYEE,A,7/1/2005 0:00,Cardiff,Wales,United Kingdom,Enabling,JOB_FUNCTION_10,CAREER_BAND_8,BUSINESS_SEGMENT_4
2019393562,EMPLOYEE,A,9/4/2002 0:00,West Chester,Ohio,United States,Production,JOB_FUNCTION_24,CAREER_BAND_10,BUSINESS_SEGMENT_4
3108248220,EMPLOYEE,A,7/1/2006 0:00,Warsaw,Masovian,Poland,Production,JOB_FUNCTION_7,CAREER_BAND_10,BUSINESS_SEGMENT_4
2703104929,EMPLOYEE,A,7/19/2006 0:00,Warsaw,Masovian,Poland,Production,JOB_FUNCTION_7,CAREER_BAND_10,BUSINESS_SEGMENT_4
6129762873,EMPLOYEE,A,8/1/2006 0:00,,No_Data,United Arab Emirates,Production,JOB_FUNCTION_7,CAREER_BAND_10,BUSINESS_SEGMENT_4
2703107557,EMPLOYEE,A,11/7/2006 0:00,Gebze,Kocaeli,Turkey,Production,JOB_FUNCTION_7,CAREER_BAND_10,BUSINESS_SEGMENT_4
3903789435,EMPLOYEE,A,1/15/2007 0:00,Evendale,Ohio,United States,Production,JOB_FUNCTION_7,CAREER_BAND_10,BUSINESS_SEGMENT_4
3508686311,EMPLOYEE,A,11/17/2003 0:00,Warsaw,Masovian,Poland,Production,JOB_FUNCTION_25,CAREER_BAND_4,BUSINESS_SEGMENT_4
8901200854,EMPLOYEE,I,5/5/2007 0:00,Cheltenham,England,United Kingdom,Production,JOB_FUNCTION_25,CAREER_BAND_4,BUSINESS_SEGMENT_4
2819676977,EMPLOYEE,I,5/5/2007 0:00,Eastleigh,England,United Kingdom,Enabling,JOB_FUNCTION_21,CAREER_BAND_4,BUSINESS_SEGMENT_4
2108243066,EMPLOYEE,A,5/5/2007 0:00,Hamble-le-Rice,England,United Kingdom,Production,JOB_FUNCTION_7,CAREER_BAND_4,BUSINESS_SEGMENT_4
9727855078,EMPLOYEE,A,7/15/2007 0:00,Warsaw,Masovian,Poland,Production,JOB_FUNCTION_7,CAREER_BAND_10,BUSINESS_SEGMENT_4
9727863364,EMPLOYEE,I,7/23/2007 0:00,Veresegyhaz,Pest,Hungary,Production,JOB_FUNCTION_16,CAREER_BAND_3,BUSINESS_SEGMENT_4
4656255389,EMPLOYEE,A,8/1/2007 0:00,Warsaw,Masovian,Poland,Production,JOB_FUNCTION_7,CAREER_BAND_10,BUSINESS_SEGMENT_4
3655799847,EMPLOYEE,A,8/27/2007 0:00,Warsaw,Masovian,Poland,Production,JOB_FUNCTION_7,CAREER_BAND_10,BUSINESS_SEGMENT_4
8308851456,EMPLOYEE,A,9/3/2007 0:00,Veresegyhaz,Pest,Hungary,Commercial,JOB_FUNCTION_16,CAREER_BAND_4,BUSINESS_SEGMENT_8
2841420973,EMPLOYEE,A,2/25/2008 0:00,Cardiff,Wales,United Kingdom,Production,JOB_FUNCTION_16,CAREER_BAND_3,BUSINESS_SEGMENT_4
10801027036,EMPLOYEE,A,4/1/2008 0:00,Amsterdam,North Holland,Netherlands,Production,JOB_FUNCTION_24,CAREER_BAND_4,BUSINESS_SEGMENT_4
2841423367,EMPLOYEE,A,4/21/2008 0:00,Prestwick,Scotland,United Kingdom,Production,JOB_FUNCTION_16,CAREER_BAND_10,BUSINESS_SEGMENT_4
8308897920,EMPLOYEE,I,7/28/2008 0:00,Peoria,Arizona,United States,Production,JOB_FUNCTION_7,CAREER_BAND_10,BUSINESS_SEGMENT_4
2868894424,EMPLOYEE,A,9/1/2008 0:00,West Drayton,England,United Kingdom,Production,JOB_FUNCTION_24,CAREER_BAND_10,BUSINESS_SEGMENT_4
1238855247,EMPLOYEE,A,8/25/2008 0:00,Gebze,Kocaeli,Turkey,Production,JOB_FUNCTION_7,CAREER_BAND_10,BUSINESS_SEGMENT_4
10790936554,EMPLOYEE,I,11/10/2008 0:00,Cheltenham,England,United Kingdom,Production,JOB_FUNCTION_7,CAREER_BAND_4,BUSINESS_SEGMENT_4
3408626301,EMPLOYEE,A,3/30/2009 0:00,Gebze,Kocaeli,Turkey,Production,JOB_FUNCTION_7,CAREER_BAND_10,BUSINESS_SEGMENT_4
3707188200,EMPLOYEE,A,1/4/2010 0:00,Warsaw,Masovian,Poland,Production,JOB_FUNCTION_7,CAREER_BAND_4,BUSINESS_SEGMENT_4
10720520105,EMPLOYEE,A,7/5/2010 0:00,Gebze,Kocaeli,Turkey,Production,JOB_FUNCTION_7,CAREER_BAND_10,BUSINESS_SEGMENT_4
6615840443,EMPLOYEE,A,10/25/2010 0:00,Cardiff,Wales,United Kingdom,Production,JOB_FUNCTION_24,CAREER_BAND_4,BUSINESS_SEGMENT_4
4730293455,EMPLOYEE,A,11/17/2010 0:00,Cardiff,Wales,United Kingdom,Production,JOB_FUNCTION_7,CAREER_BAND_4,BUSINESS_SEGMENT_4
447685235,EMPLOYEE,A,1/3/2011 0:00,Praha,Prague,Czech Republic,Production,JOB_FUNCTION_7,CAREER_BAND_10,BUSINESS_SEGMENT_4
447686072,EMPLOYEE,I,3/28/2011 0:00,Hamble-le-Rice,England,United Kingdom,Production,JOB_FUNCTION_16,CAREER_BAND_4,BUSINESS_SEGMENT_4
1768420029,EMPLOYEE,A,5/1/2011 0:00,Warsaw,Masovian,Poland,Production,JOB_FUNCTION_7,CAREER_BAND_10,BUSINESS_SEGMENT_4
10759690148,EMPLOYEE,I,6/13/2011 0:00,Warsaw,Masovian,Poland,Production,JOB_FUNCTION_7,CAREER_BAND_4,BUSINESS_SEGMENT_4
1152992609,EMPLOYEE,A,8/1/2011 0:00,Warsaw,Masovian,Poland,Production,JOB_FUNCTION_7,CAREER_BAND_4,BUSINESS_SEGMENT_4
6748639308,EMPLOYEE,A,9/1/2011 0:00,Praha,Prague,Czech Republic,Production,JOB_FUNCTION_7,CAREER_BAND_4,BUSINESS_SEGMENT_4
1152994733,EMPLOYEE,I,8/25/2011 0:00,Gloucester,England,United Kingdom,Production,JOB_FUNCTION_16,CAREER_BAND_8,BUSINESS_SEGMENT_4
278836178,EMPLOYEE,A,12/5/2011 0:00,Gebze,Kocaeli,Turkey,Production,JOB_FUNCTION_7,CAREER_BAND_4,BUSINESS_SEGMENT_4
278836196,EMPLOYEE,A,3/10/2012 0:00,Abu Dhabi,Abu Dhabi,United Arab Emirates,Production,JOB_FUNCTION_7,CAREER_BAND_10,BUSINESS_SEGMENT_4
6042988630,EMPLOYEE,A,1/15/2012 0:00,Dubai,Dubai,United Arab Emirates,Production,JOB_FUNCTION_24,CAREER_BAND_10,BUSINESS_SEGMENT_4
3108536237,EMPLOYEE,A,7/2/2012 0:00,Dubai,Dubai,United Arab Emirates,Production,JOB_FUNCTION_16,CAREER_BAND_4,BUSINESS_SEGMENT_4
4676078720,EMPLOYEE,I,8/13/2012 0:00,Cheltenham,England,United Kingdom,Production,JOB_FUNCTION_7,CAREER_BAND_4,BUSINESS_SEGMENT_4
8410942327,EMPLOYEE,A,5/3/2011 0:00,Cardiff,Wales,United Kingdom,Enabling,JOB_FUNCTION_10,CAREER_BAND_8,BUSINESS_SEGMENT_4
1351212616,EMPLOYEE,A,8/31/1998 0:00,Evendale,Ohio,United States,Enabling,JOB_FUNCTION_10,CAREER_BAND_10,BUSINESS_SEGMENT_4
9672758310,EMPLOYEE,A,4/22/1996 0:00,Evendale,Ohio,United States,Production,JOB_FUNCTION_7,CAREER_BAND_10,BUSINESS_SEGMENT_4
13558590425,EMPLOYEE,A,2/3/1997 0:00,,Virginia,United States,Production,JOB_FUNCTION_7,CAREER_BAND_10,BUSINESS_SEGMENT_4
8942279020,EMPLOYEE,A,12/22/1989 0:00,Evendale,Ohio,United States,Production,JOB_FUNCTION_7,CAREER_BAND_10,BUSINESS_SEGMENT_4
17666907117,EMPLOYEE,A,7/10/1995 0:00,Evendale,Ohio,United States,Production,JOB_FUNCTION_7,CAREER_BAND_2,BUSINESS_SEGMENT_4
13613285408,EMPLOYEE,A,11/20/2000 0:00,Evendale,Ohio,United States,Production,JOB_FUNCTION_7,CAREER_BAND_2,BUSINESS_SEGMENT_4
18768151025,EMPLOYEE,A,7/22/2002 0:00,West Chester,Ohio,United States,Production,JOB_FUNCTION_7,CAREER_BAND_2,BUSINESS_SEGMENT_4
8542511050,EMPLOYEE,A,9/27/2004 0:00,Evendale,Ohio,United States,Production,JOB_FUNCTION_7,CAREER_BAND_2,BUSINESS_SEGMENT_4
8542532618,EMPLOYEE,A,5/24/2004 0:00,Evendale,Ohio,United States,Production,JOB_FUNCTION_7,CAREER_BAND_4,BUSINESS_SEGMENT_4
9673222206,EMPLOYEE,A,10/3/2005 0:00,Evendale,Ohio,United States,Production,JOB_FUNCTION_7,CAREER_BAND_10,BUSINESS_SEGMENT_4
19639355437,EMPLOYEE,A,,Marlborough,,,,JOB_FUNCTION_7,CAREER_BAND_1,BUSINESS_SEGMENT_10
10320793967,EMPLOYEE,I,6/1/2009 0:00,Austin,Texas,United States,Enabling,JOB_FUNCTION_10,CAREER_BAND_2,BUSINESS_SEGMENT_4
10320819870,EMPLOYEE,A,,Niskayuna,,,,JOB_FUNCTION_7,CAREER_BAND_1,BUSINESS_SEGMENT_6
19519236308,EMPLOYEE,I,6/7/2010 0:00,Bohemia,New York,United States,Production,JOB_FUNCTION_7,CAREER_BAND_4,BUSINESS_SEGMENT_4
18427288255,EMPLOYEE,A,10/4/2010 0:00,Evendale,Ohio,United States,Production,JOB_FUNCTION_7,CAREER_BAND_4,BUSINESS_SEGMENT_4
1676818317,EMPLOYEE,I,6/20/2011 0:00,Evendale,Ohio,United States,Enabling,JOB_FUNCTION_10,CAREER_BAND_10,BUSINESS_SEGMENT_4
18939412163,EMPLOYEE,A,1/16/2012 0:00,Lynn,Massachusetts,United States,Enabling,JOB_FUNCTION_10,CAREER_BAND_10,BUSINESS_SEGMENT_4
4597724901,EMPLOYEE,A,,Niskayuna,,,,JOB_FUNCTION_7,CAREER_BAND_1,BUSINESS_SEGMENT_6
2810537136,EMPLOYEE,A,6/4/2012 0:00,Evendale,Ohio,United States,Production,JOB_FUNCTION_7,CAREER_BAND_10,BUSINESS_SEGMENT_4
11071423135,EMPLOYEE,A,4/10/1995 0:00,,West Virginia,United States,Enabling,JOB_FUNCTION_8,CAREER_BAND_10,BUSINESS_SEGMENT_4
16360037653,EMPLOYEE,A,5/30/2000 0:00,,Arizona,United States,Production,JOB_FUNCTION_25,CAREER_BAND_10,BUSINESS_SEGMENT_4
17300979292,EMPLOYEE,A,6/19/2000 0:00,Evendale,Ohio,United States,Production,JOB_FUNCTION_7,CAREER_BAND_2,BUSINESS_SEGMENT_4
7657628374,EMPLOYEE,I,12/10/2001 0:00,Evendale,Ohio,United States,Production,JOB_FUNCTION_19,CAREER_BAND_10,BUSINESS_SEGMENT_4
7583583568,EMPLOYEE,A,7/19/2004 0:00,Huntsville,Alabama,United States,Production,JOB_FUNCTION_19,CAREER_BAND_10,BUSINESS_SEGMENT_4
19727665929,EMPLOYEE,A,1/10/2005 0:00,Dayton,Ohio,United States,Production,JOB_FUNCTION_16,CAREER_BAND_4,BUSINESS_SEGMENT_4
